domain	strict	balanced	reward_block	source
acspaces.ero-advertising.com	1	1	0	Wei.G
act-on-marketing.advancedsolutionsplm.com	1	1	0	Wei.G
act.commercial.shouji.360.cn	1	1	0	Wei.G
action.advisorycloud.com	1	1	0	Wei.G
activate.encinitasadvocate.com	1	1	0	Wei.G
activate.tribpubads.com	1	1	0	Wei.G
activate.troncads.com	1	1	0	Wei.G
activeagingadvocates.com	1	1	0	Wei.G
activeqq.3g.qq.com	1	1	0	Wei.G
actives.youku.com	1	1	0	Wei.G
activity.browser.intl.miui.com	1	1	0	Wei.G
acton.highroadsolution.com	1	1	0	Wei.G
acton.outleads.com	1	1	0	Wei.G
actsdk.idreamsky.com	1	1	0	Wei.G
acuityads.com	1	1	0	Wei.G
ad-1258444056.cos.accelerate.myqcloud.com	1	1	0	Wei.G
ad-411.com	1	1	0	Wei.G
ad-a8.www.zeiri4.com	1	1	0	Wei.G
ad-ace.doubleclick.net	1	1	0	Wei.G
ad-adapex.io	1	1	0	Wei.G
ad-admin.vnay.vn	1	1	0	Wei.G
ad-agent.shop	1	1	0	Wei.G
ad-alp.net	1	1	0	Wei.G
ad-analyze.jp	1	1	0	Wei.G
ad-android.51wnl.com	1	1	0	Wei.G
ad-apac.doubleclick.net	1	1	0	Wei.G
ad-api-v01.uliza.jp	1	1	0	Wei.G
ad-api.ad-stir.com	1	1	0	Wei.G
ad-api.band.us	1	1	0	Wei.G
ad-api.cnblogs.com	1	1	0	Wei.G
ad-api.ehawk.com	1	1	0	Wei.G
ad-api.enuri.info	1	1	0	Wei.G
ad-api.gl-inet.com	1	1	0	Wei.G
ad-api.maxnapps.com	1	1	0	Wei.G
ad-app.morion.ua	1	1	0	Wei.G
ad-arata.com	1	1	0	Wei.G
ad-arrow.com	1	1	0	Wei.G
ad-assets.futurecdn.net	1	1	0	Wei.G
ad-audit.tubemogul.com	1	1	0	Wei.G
ad-back.net	1	1	0	Wei.G
ad-balancer.at	1	1	0	Wei.G
ad-balancer.net	1	1	0	Wei.G
ad-beta.flipboard.com	1	1	0	Wei.G
ad-bg.adwo.com	1	1	0	Wei.G
ad-blocker-1.static-cloudflare.workers.dev	1	1	0	Wei.G
ad-bls-tracking.lemino.docomo.ne.jp	1	1	0	Wei.G
ad-brix.com	1	1	0	Wei.G
ad-cache.dopool.com	1	1	0	Wei.G
ad-cdn.bilgin.pro	1	1	0	Wei.G
ad-cdn.qingting.fm	1	1	0	Wei.G
ad-cdn.technoratimedia.com	1	1	0	Wei.G
ad-channel.diwodiwo.xyz	1	1	0	Wei.G
ad-channel.wikawika.xyz	1	1	0	Wei.G
ad-cheers.com	1	1	0	Wei.G
ad-clicks.com	1	1	0	Wei.G
ad-cloud.jp	1	1	0	Wei.G
ad-configurator.6cloud.fr	1	1	0	Wei.G
ad-count.adwo.com	1	1	0	Wei.G
ad-count.jp	1	1	0	Wei.G
ad-creative.projectcarmen.com	1	1	0	Wei.G
ad-creative.pstatic.net	1	1	0	Wei.G
ad-creatives-public.commondatastorage.googleapis.com	1	1	0	Wei.G
ad-cupid.com	1	1	0	Wei.G
ad-delivery.net	1	1	0	Wei.G
ad-dev.globalnoticias.pt	1	1	0	Wei.G
ad-diactivat.pages.dev	1	1	0	Wei.G
ad-display.diwodiwo.xyz	1	1	0	Wei.G
ad-display.wikawika.xyz	1	1	0	Wei.G
ad-download.hismarttv.com	1	1	0	Wei.G
ad-drcn.dt.dbankcloud.cn	1	1	0	Wei.G
ad-drcn.dt.dbankcloud.com	1	1	0	Wei.G
ad-drcn.dt.hihonorcloud.cn	1	1	0	Wei.G
ad-drcn.dt.hihonorcloud.com	1	1	0	Wei.G
ad-drop.jp	1	1	0	Wei.G
ad-ebis.bookpass.auone.jp	1	1	0	Wei.G
ad-ebis.mynavi-job20s.jp	1	1	0	Wei.G
ad-ebis.toysub.jp	1	1	0	Wei.G
ad-emea.doubleclick.net	1	1	0	Wei.G
ad-ettoday.cdn.hinet.net	1	1	0	Wei.G
ad-events.flashtalking.com	1	1	0	Wei.G
ad-exchange.toast.com	1	1	0	Wei.G
ad-extra.kajicam.com	1	1	0	Wei.G
ad-fam.com	1	1	0	Wei.G
ad-feed.com	1	1	0	Wei.G
ad-feeds.com	1	1	0	Wei.G
ad-files.classting.com	1	1	0	Wei.G
ad-flow.com	1	1	0	Wei.G
ad-fuse.com	1	1	0	Wei.G
ad-g.doubleclick.net	1	1	0	Wei.G
ad-gbn.com	1	1	0	Wei.G
ad-generation.jp	1	1	0	Wei.G
ad-generator.net	1	1	0	Wei.G
ad-h5-cdn.soulapp.cn	1	1	0	Wei.G
ad-h5-station-cdn.soulapp.cn	1	1	0	Wei.G
ad-hatena.com	1	1	0	Wei.G
ad-hoc-news.de.intellitxt.com	1	1	0	Wei.G
ad-house.mobi	1	1	0	Wei.G
ad-hub.dable.io	1	1	0	Wei.G
ad-hub.it	1	1	0	Wei.G
ad-im-cmg.streamguys1.com	1	1	0	Wei.G
ad-image.val.jp	1	1	0	Wei.G
ad-img.diyidan.net	1	1	0	Wei.G
ad-img.ebaykorea.com	1	1	0	Wei.G
ad-indicator.com	1	1	0	Wei.G
ad-info.val.jp	1	1	0	Wei.G
ad-insight.sellermill.com	1	1	0	Wei.G
ad-interceptor.6cloud.fr	1	1	0	Wei.G
ad-link.jp	1	1	0	Wei.G
ad-locus.com	1	1	0	Wei.G
ad-logging2.ap-northeast-2.elasticbeanstalk.com	1	1	0	Wei.G
ad-loupe.com	1	1	0	Wei.G
ad-m.asia	1	1	0	Wei.G
ad-mapps.com	1	1	0	Wei.G
ad-market.vivo.com.cn	1	1	0	Wei.G
ad-maven.com	1	1	0	Wei.G
ad-mediation.tuanguwen.com	1	1	0	Wei.G
ad-miner.com	1	1	0	Wei.G
ad-mix.de	1	1	0	Wei.G
ad-mixr.com	1	1	0	Wei.G
ad-mo.re	1	1	0	Wei.G
ad-monitor.kargo.com	1	1	0	Wei.G
ad-monitor.sh9130.com	1	1	0	Wei.G
ad-move.jp	1	1	0	Wei.G
ad-ndtv.3s.com.vn	1	1	0	Wei.G
ad-news.news	1	1	0	Wei.G
ad-nex.com	1	1	0	Wei.G
ad-optima.com	1	1	0	Wei.G
ad-pay.de	1	1	0	Wei.G
ad-platform.jmty.jp	1	1	0	Wei.G
ad-plus.cn	1	1	0	Wei.G
ad-plus.com.tr	1	1	0	Wei.G
ad-pub.terra.com.br	1	1	0	Wei.G
ad-pulse.kakaobank.cloud	1	1	0	Wei.G
ad-r.soulapp.cn	1	1	0	Wei.G
ad-recommend.com	1	1	0	Wei.G
ad-rotator.com	1	1	0	Wei.G
ad-scope.com	1	1	0	Wei.G
ad-scope.com.cn	1	1	0	Wei.G
ad-score.com	1	1	0	Wei.G
ad-script.viewus.co.kr	1	1	0	Wei.G
ad-sdk-config.youdao.com	1	1	0	Wei.G
ad-sdk.aiclk.com	1	1	0	Wei.G
ad-sdk.altamob.xiaoying.co	1	1	0	Wei.G
ad-seek.jp	1	1	0	Wei.G
ad-sell.com	1	1	0	Wei.G
ad-serve.b-cdn.net	1	1	0	Wei.G
ad-server.co.za	1	1	0	Wei.G
ad-server.gulasidorna.se	1	1	0	Wei.G
ad-serverparc.nl	1	1	0	Wei.G
ad-serving.de	1	1	0	Wei.G
ad-serving.iocreate.cloud	1	1	0	Wei.G
ad-sh-sz-zb.wagbridge.tanx.alimama.com	1	1	0	Wei.G
ad-shield.io	1	1	0	Wei.G
ad-shot.com	1	1	0	Wei.G
ad-souk.com	1	1	0	Wei.G
ad-sp.biz	1	1	0	Wei.G
ad-space.net	1	1	0	Wei.G
ad-specs.guoshipartners.com	1	1	0	Wei.G
ad-sphereagency.site	1	1	0	Wei.G
ad-spire.net	1	1	0	Wei.G
ad-splash-tracking.hktvmall.com	1	1	0	Wei.G
ad-splash.hktvmall.com	1	1	0	Wei.G
ad-sponsor.com	1	1	0	Wei.G
ad-srv-track.com	1	1	0	Wei.G
ad-srv.co	1	1	0	Wei.G
ad-srv.net	1	1	0	Wei.G
ad-static-xg.tagtic.cn	1	1	0	Wei.G
ad-static.ssread.cn	1	1	0	Wei.G
ad-stir.com	1	1	0	Wei.G
ad-sun.de	1	1	0	Wei.G
ad-survey.com	1	1	0	Wei.G
ad-switcher.com	1	1	0	Wei.G
ad-tag.biz	1	1	0	Wei.G
ad-tag.inner-active.mobi	1	1	0	Wei.G
ad-tech.ru	1	1	0	Wei.G
ad-test.mediav.com	1	1	0	Wei.G
ad-thd-east.tagdelivery.com	1	1	0	Wei.G
ad-track.jp	1	1	0	Wei.G
ad-tracker-api.luizalabs.com	1	1	0	Wei.G
ad-u.com	1	1	0	Wei.G
ad-union-e.ssread.cn	1	1	0	Wei.G
ad-up.com	1	1	0	Wei.G
